"variable","nullable","variable type","data type","unit of measure","description"
"area ","FALSE","numerical","int",,"$A$  The area of a bean zone; the number of pixels within its boundaries."
"perimeter","FALSE","numerical","float",,"$P$  The bean circumference, i.e., the length of its border."
"majoraxislength","FALSE","numerical","float",,"$L$  The length of the longest straight line that can be drawn within the circumference of a bean."
"minoraxislength","FALSE","numerical","float",,"$l$ The longest closed line segment of a bean that is (a) perpendicular to the major axis, and (b) bounded by the bean circumference."
"aspectration","FALSE","numerical","float",,"$K$  Ratio $\frac{L}{l}$, i.e., (major axis length)/(minor axis length).<br>Formula: $\frac{L}{l}$"
"eccentricity","FALSE","numerical","float",,"$Ec$  The eccentricity $e$ of an ellipse is a measure of degree of circularity; $0 \le e < 1$.<br>$\sqrt{1 - \frac{l^2}{L^2}}$"
"convexarea","FALSE","numerical","int",,"$C$  _The number of pixels in the smallest convex polygon that can contain the area of a bean seed._"
"equivdiameter","FALSE","numerical","float",,"$Ed$  _The diameter of a circle having the same area as a bean seed area._  Cf.  The [IUPAC definition](https://doi.org/10.1351/goldbook.E02191) of an equivalent diameter $\rightarrow$ *...diameter of a spherical particle which will give identical geometric, optical, electrical or aerodynamic behaviour to that of the particle (non-spherical) being examined...*"
"extent","FALSE","numerical","float",,"$Ex$  _The ratio of the pixels in the bounding box to the bean area._"
"solidity","FALSE","numerical","float",,"$S$  _Also known as convexity. The ratio of the pixels in the convex shell to those found in beans._"
"roundness","FALSE","numerical","float",,"$R$  Roundness.<br>Formula: $\frac{4 \pi A}{P^2}$"
"compactness","FALSE","numerical","float",,"$CO$  Compactness.<br>Formula: $\frac{Ed}{L}$"
"shapefactor1","FALSE","numerical","float","$1$","$SF1$"
"shapefactor2","FALSE","numerical","float","$1$","$SF2$"
"shapefactor3","FALSE","numerical","float","$1$","$SF3$"
"shapefactor4","FALSE","numerical","float","$1$","$SF4$"
"class","FALSE","categorical","string","$1$","Class $\rightarrow$ Seker, Barbunya, Bombay, Cali, Dermosan, Horoz and Sira"
